direction,entry_time,entry_price,sl,tp,exit_time,exit_price,pnl,result
BUY,2026-01-02 14:45:00,4394.31,4383.373867661988,4400.142603913608,2026-01-02 15:00:00,4400.142603913608,5.832603913607272,WIN
SELL,2026-01-02 22:30:00,4326.69,4339.665859363223,4319.769541672947,2026-01-05 01:00:00,4339.665859363223,-12.975859363223208,LOSS
BUY,2026-01-05 16:00:00,4426.2,4412.590380237218,4433.458463873483,2026-01-05 16:45:00,4433.458463873483,7.258463873483379,WIN
BUY,2026-01-05 19:15:00,4445.78,4430.688843831009,4453.828616623461,2026-01-06 01:00:00,4453.828616623461,8.048616623461385,WIN
BUY,2026-01-06 13:30:00,4461.9,4451.304091152179,4467.5511513855035,2026-01-06 15:00:00,4467.5511513855035,5.651151385503908,WIN
BUY,2026-01-06 17:45:00,4478.3,4464.311570470129,4485.760495749265,2026-01-06 18:30:00,4485.760495749265,7.460495749264737,WIN
BUY,2026-01-06 22:00:00,4485.24,4474.297336792986,4491.07608704374,2026-01-06 22:45:00,4491.07608704374,5.836087043740008,WIN
BUY,2026-01-07 02:15:00,4490.89,4482.910721552209,4495.145615172156,2026-01-07 02:45:00,4482.910721552209,-7.97927844779133,LOSS
SELL,2026-01-07 11:15:00,4462.07,4473.405064474912,4456.024632280047,2026-01-07 13:15:00,4456.024632280047,6.045367719952992,WIN
SELL,2026-01-07 13:30:00,4450.42,4460.94687601783,4444.805666123824,2026-01-07 14:00:00,4444.805666123824,5.614333876175806,WIN
SELL,2026-01-07 16:00:00,4447.17,4460.745660661353,4439.929647647278,2026-01-07 16:30:00,4439.929647647278,7.240352352721857,WIN
SELL,2026-01-07 16:45:00,4445.06,4459.858171090742,4437.167642084938,2026-01-07 17:00:00,4437.167642084938,7.892357915062348,WIN
SELL,2026-01-07 17:45:00,4446.0,4462.1557205206855,4437.383615722301,2026-01-07 18:30:00,4462.1557205206855,-16.155720520685463,LOSS
SELL,2026-01-07 19:45:00,4451.75,4466.293412462504,4443.993513353331,2026-01-08 03:45:00,4443.993513353331,7.756486646669146,WIN
SELL,2026-01-08 08:45:00,4433.05,4444.996863631002,4426.678339396799,2026-01-08 10:00:00,4426.678339396799,6.371660603201235,WIN
SELL,2026-01-08 11:00:00,4430.76,4442.156965527045,4424.681618385576,2026-01-08 12:15:00,4424.681618385576,6.078381614423961,WIN
SELL,2026-01-08 13:00:00,4428.23,4438.628657528155,4422.684049318317,2026-01-08 13:45:00,4422.684049318317,5.5459506816823705,WIN
SELL,2026-01-08 15:00:00,4420.37,4431.940213672484,4414.199219374675,2026-01-08 15:15:00,4431.940213672484,-11.570213672483987,LOSS
SELL,2026-01-08 15:45:00,4423.64,4436.591032958619,4416.732782422071,2026-01-08 16:45:00,4436.591032958619,-12.95103295861827,LOSS
BUY,2026-01-08 20:30:00,4451.98,4439.095740363881,4458.851605139263,2026-01-08 22:15:00,4458.851605139263,6.871605139263011,WIN
BUY,2026-01-09 02:30:00,4467.58,4458.112227892684,4472.629478457236,2026-01-09 03:00:00,4458.112227892684,-9.467772107315795,LOSS
BUY,2026-01-09 03:45:00,4468.77,4458.170578462394,4474.423024820057,2026-01-09 04:00:00,4474.423024820057,5.653024820056999,WIN
BUY,2026-01-09 10:15:00,4473.1,4464.953211082255,4477.444954089465,2026-01-09 10:45:00,4464.953211082255,-8.146788917745653,LOSS
BUY,2026-01-09 17:00:00,4496.35,4481.3221089366125,4504.364875233807,2026-01-09 17:15:00,4504.364875233807,8.014875233806379,WIN
BUY,2026-01-09 20:30:00,4502.14,4487.057411491358,4510.18404720461,2026-01-09 23:15:00,4510.18404720461,8.044047204609342,WIN
BUY,2026-01-12 06:45:00,4568.47,4555.354955452525,4575.46469042532,2026-01-12 07:30:00,4575.46469042532,6.9946904253201865,WIN
BUY,2026-01-12 13:30:00,4591.92,4581.141611338502,4597.668473952799,2026-01-12 14:00:00,4581.141611338502,-10.778388661497956,LOSS
BUY,2026-01-12 14:45:00,4590.34,4580.049263883178,4595.828392595638,2026-01-12 15:00:00,4595.828392595638,5.488392595638288,WIN
BUY,2026-01-12 15:15:00,4604.8,4593.12676324621,4611.025726268688,2026-01-12 15:30:00,4611.025726268688,6.2257262686880495,WIN
BUY,2026-01-12 16:30:00,4604.04,4587.724110175402,4612.741807906453,2026-01-12 17:00:00,4612.741807906453,8.701807906452814,WIN
BUY,2026-01-12 18:45:00,4616.75,4600.36507334625,4625.488627548667,2026-01-12 22:00:00,4600.36507334625,-16.38492665374997,LOSS
BUY,2026-01-13 01:45:00,4599.48,4585.046672138602,4607.177774859411,2026-01-13 02:30:00,4585.046672138602,-14.433327861397629,LOSS
